Date,Open,High,Low,Close,Adj Close,Volume
2009-07-30,9154.4599609375,9154.4599609375,9154.4599609375,9154.4599609375,9154.4599609375,0
2009-07-31,9171.6103515625,9171.6103515625,9171.6103515625,9171.6103515625,9171.6103515625,0
2009-08-03,9286.5595703125,9286.5595703125,9286.5595703125,9286.5595703125,9286.5595703125,0
2009-08-04,9320.1904296875,9320.1904296875,9320.1904296875,9320.1904296875,9320.1904296875,0
2009-08-05,9280.9697265625,9280.9697265625,9280.9697265625,9280.9697265625,9280.9697265625,0
2009-08-06,9256.259765625,9256.259765625,9256.259765625,9256.259765625,9256.259765625,0
2009-08-07,9370.0703125,9370.0703125,9370.0703125,9370.0703125,9370.0703125,0
2009-08-10,9337.9501953125,9337.9501953125,9337.9501953125,9337.9501953125,9337.9501953125,0
2009-08-11,9241.4501953125,9241.4501953125,9241.4501953125,9241.4501953125,9241.4501953125,0
2009-08-12,9361.6103515625,9361.6103515625,9361.6103515625,9361.6103515625,9361.6103515625,0
2009-08-13,9398.1904296875,9398.1904296875,9398.1904296875,9398.1904296875,9398.1904296875,0
2009-08-14,9321.400390625,9321.400390625,9321.400390625,9321.400390625,9321.400390625,0
2009-08-17,9135.33984375,9135.33984375,9135.33984375,9135.33984375,9135.33984375,0
2009-08-18,9217.9404296875,9217.9404296875,9217.9404296875,9217.9404296875,9217.9404296875,0
2009-08-19,9279.16015625,9279.16015625,9279.16015625,9279.16015625,9279.16015625,0
2009-08-20,9350.0498046875,9350.0498046875,9350.0498046875,9350.0498046875,9350.0498046875,0
2009-08-21,9505.9599609375,9505.9599609375,9505.9599609375,9505.9599609375,9505.9599609375,0
2009-08-24,9509.2802734375,9509.2802734375,9509.2802734375,9509.2802734375,9509.2802734375,0
2009-08-25,9539.2900390625,9539.2900390625,9539.2900390625,9539.2900390625,9539.2900390625,0
2009-08-26,9543.51953125,9543.51953125,9543.51953125,9543.51953125,9543.51953125,0
2009-08-27,9580.6298828125,9580.6298828125,9580.6298828125,9580.6298828125,9580.6298828125,0
2009-08-28,9544.2001953125,9544.2001953125,9544.2001953125,9544.2001953125,9544.2001953125,0
2009-08-31,9496.2802734375,9496.2802734375,9496.2802734375,9496.2802734375,9496.2802734375,0
2009-09-01,9310.599609375,9310.599609375,9310.599609375,9310.599609375,9310.599609375,0
2009-09-02,9280.669921875,9280.669921875,9280.669921875,9280.669921875,9280.669921875,0
2009-09-03,9344.6103515625,9344.6103515625,9344.6103515625,9344.6103515625,9344.6103515625,0
2009-09-04,9441.26953125,9441.26953125,9441.26953125,9441.26953125,9441.26953125,0
2009-09-08,9497.33984375,9497.33984375,9497.33984375,9497.33984375,9497.33984375,0
2009-09-09,9547.2197265625,9547.2197265625,9547.2197265625,9547.2197265625,9547.2197265625,0
2009-09-10,9627.48046875,9627.48046875,9627.48046875,9627.48046875,9627.48046875,0
2009-09-11,9605.41015625,9605.41015625,9605.41015625,9605.41015625,9605.41015625,0
2009-09-14,9626.7998046875,9626.7998046875,9626.7998046875,9626.7998046875,9626.7998046875,0
2009-09-15,9683.41015625,9683.41015625,9683.41015625,9683.41015625,9683.41015625,0
2009-09-16,9791.7099609375,9791.7099609375,9791.7099609375,9791.7099609375,9791.7099609375,0
2009-09-17,9783.919921875,9783.919921875,9783.919921875,9783.919921875,9783.919921875,0
2009-09-18,9820.2001953125,9820.2001953125,9820.2001953125,9820.2001953125,9820.2001953125,0
2009-09-21,9778.8603515625,9778.8603515625,9778.8603515625,9778.8603515625,9778.8603515625,0
2009-09-22,9829.8701171875,9829.8701171875,9829.8701171875,9829.8701171875,9829.8701171875,0
2009-09-23,9748.5498046875,9748.5498046875,9748.5498046875,9748.5498046875,9748.5498046875,0
2009-09-24,9707.4404296875,9707.4404296875,9707.4404296875,9707.4404296875,9707.4404296875,0
2009-09-25,9665.1904296875,9665.1904296875,9665.1904296875,9665.1904296875,9665.1904296875,0
2009-09-28,9789.3603515625,9789.3603515625,9789.3603515625,9789.3603515625,9789.3603515625,0
2009-09-29,9742.2001953125,9742.2001953125,9742.2001953125,9742.2001953125,9742.2001953125,0
2009-09-30,9712.2802734375,9712.2802734375,9712.2802734375,9712.2802734375,9712.2802734375,0
2009-10-01,9509.2802734375,9509.2802734375,9509.2802734375,9509.2802734375,9509.2802734375,0
2009-10-02,9487.669921875,9487.669921875,9487.669921875,9487.669921875,9487.669921875,0
2009-10-05,9599.75,9599.75,9599.75,9599.75,9599.75,0
2009-10-06,9731.25,9731.25,9731.25,9731.25,9731.25,0
2009-10-07,9725.580078125,9725.580078125,9725.580078125,9725.580078125,9725.580078125,0
2009-10-08,9786.8701171875,9786.8701171875,9786.8701171875,9786.8701171875,9786.8701171875,0
2009-10-09,9864.9404296875,9864.9404296875,9864.9404296875,9864.9404296875,9864.9404296875,0
2009-10-12,9885.7998046875,9885.7998046875,9885.7998046875,9885.7998046875,9885.7998046875,0
2009-10-13,9871.0595703125,9871.0595703125,9871.0595703125,9871.0595703125,9871.0595703125,0
2009-10-14,10015.900390625,10015.900390625,10015.900390625,10015.900390625,10015.900390625,0
2009-10-15,10062.900390625,10062.900390625,10062.900390625,10062.900390625,10062.900390625,0
2009-10-16,9995.91015625,9995.91015625,9995.91015625,9995.91015625,9995.91015625,0
2009-10-19,10092.2001953125,10092.2001953125,10092.2001953125,10092.2001953125,10092.2001953125,0
2009-10-20,10041.5,10041.5,10041.5,10041.5,10041.5,0
2009-10-21,9949.3603515625,9949.3603515625,9949.3603515625,9949.3603515625,9949.3603515625,0
2009-10-22,10081.2998046875,10081.2998046875,10081.2998046875,10081.2998046875,10081.2998046875,0
2009-10-23,9972.1796875,9972.1796875,9972.1796875,9972.1796875,9972.1796875,0
2009-10-26,9867.9599609375,9867.9599609375,9867.9599609375,9867.9599609375,9867.9599609375,0
2009-10-27,9882.169921875,9882.169921875,9882.169921875,9882.169921875,9882.169921875,0
2009-10-28,9762.6904296875,9762.6904296875,9762.6904296875,9762.6904296875,9762.6904296875,0
2009-10-29,9962.580078125,9962.580078125,9962.580078125,9962.580078125,9962.580078125,0
2009-10-30,9712.73046875,9712.73046875,9712.73046875,9712.73046875,9712.73046875,0
2009-11-02,9789.4404296875,9789.4404296875,9789.4404296875,9789.4404296875,9789.4404296875,0
2009-11-03,9771.91015625,9771.91015625,9771.91015625,9771.91015625,9771.91015625,0
2009-11-04,9802.1396484375,9802.1396484375,9802.1396484375,9802.1396484375,9802.1396484375,0
2009-11-05,10006.0,10006.0,10006.0,10006.0,10006.0,0
2009-11-06,10023.400390625,10023.400390625,10023.400390625,10023.400390625,10023.400390625,0
2009-11-09,10226.900390625,10226.900390625,10226.900390625,10226.900390625,10226.900390625,0
